f127.0.0.1:2222,127.0.0.1:1111	4256	2	0	32	4
f127.0.0.1:2222,127.0.0.1:1111	4256	1
f127.0.0.1:1111,127.0.0.1:2222	4256	2	34	0	3
f127.0.0.1:1111,127.0.0.1:2222	4257	3	35	0	3
f127.0.0.1:1111,127.0.0.1:2222	4257	4	36	0	3
f127.0.0.1:1111,127.0.0.1:2222	4261	3
f127.0.0.1:2222,127.0.0.1:1111	4261	4	0	32	4
f127.0.0.1:1111,127.0.0.1:2222	4264	3
f127.0.0.1:2222,127.0.0.1:1111	4264	2
f127.0.0.1:2222,127.0.0.1:1111	4265	3	0	32	4
f127.0.0.1:1111,127.0.0.1:2222	4265	4	37	0	3
f127.0.0.1:1111,127.0.0.1:2222	4268	3
f127.0.0.1:2222,127.0.0.1:1111	4269	4	0	32	4
f127.0.0.1:2222,127.0.0.1:1111	4269	3
f127.0.0.1:1111,127.0.0.1:2222	4273	2
f127.0.0.1:2222,127.0.0.1:1111	4273	3	0	32	4
f127.0.0.1:2222,127.0.0.1:1111	4273	2
f127.0.0.1:2222,127.0.0.1:1111	4287	1
f127.0.0.1:2222,127.0.0.1:1111	4287	0
f127.0.0.1:1111,127.0.0.1:2222	5265	1	33	0	3
f127.0.0.1:1111,127.0.0.1:2222	5269	0
f127.0.0.1:2222,127.0.0.1:1111	5269	1	0	33	4
f127.0.0.1:2222,127.0.0.1:1111	5274	0
f127.0.0.1:1111,127.0.0.1:2222	5274	1	34	0	3
f127.0.0.1:1111,127.0.0.1:2222	5274	2	35	0	3
f127.0.0.1:1111,127.0.0.1:2222	5278	1
f127.0.0.1:2222,127.0.0.1:1111	5278	2	0	34	4
f127.0.0.1:1111,127.0.0.1:2222	5282	1
f127.0.0.1:2222,127.0.0.1:1111	5282	0
f127.0.0.1:2222,127.0.0.1:1111	5283	1	0	35	4
f127.0.0.1:1111,127.0.0.1:2222	5283	2	36	0	3
f127.0.0.1:1111,127.0.0.1:2222	5287	1
f127.0.0.1:2222,127.0.0.1:1111	5287	0
f127.0.0.1:2222,127.0.0.1:1111	5287	1	0	36	4
f127.0.0.1:1111,127.0.0.1:2222	5287	2	37	0	3
f127.0.0.1:1111,127.0.0.1:2222	5287	3	38	0	3
f127.0.0.1:1111,127.0.0.1:2222	5291	2
f127.0.0.1:2222,127.0.0.1:1111	5291	1
f127.0.0.1:2222,127.0.0.1:1111	5291	2	0	37	4
f127.0.0.1:1111,127.0.0.1:2222	5291	3	39	0	3
f127.0.0.1:1111,127.0.0.1:2222	5295	2
f127.0.0.1:2222,127.0.0.1:1111	5302	3	0	38	4
f127.0.0.1:2222,127.0.0.1:1111	5302	2
f127.0.0.1:1111,127.0.0.1:2222	5303	1
f127.0.0.1:2222,127.0.0.1:1111	5303	2	0	39	4
f127.0.0.1:1111,127.0.0.1:2222	5304	3	40	0	3
f127.0.0.1:1111,127.0.0.1:2222	5304	2
f127.0.0.1:1111,127.0.0.1:2222	5304	-1	40	0
f127.0.0.1:2222,127.0.0.1:1111	5311	1
f127.0.0.1:1111,127.0.0.1:2222	5317	2	41	0	3
f127.0.0.1:2222,127.0.0.1:1111	5317	1
f127.0.0.1:1111,127.0.0.1:2222	5317	2	42	0	3
f127.0.0.1:1111,127.0.0.1:2222	5317	3	43	0	3
f127.0.0.1:1111,127.0.0.1:2222	5317	2
f127.0.0.1:1111,127.0.0.1:2222	5317	-1	43	0
f127.0.0.1:1111,127.0.0.1:2222	5326	1
f127.0.0.1:1111,127.0.0.1:2222	5326	0
f127.0.0.1:2222,127.0.0.1:1111	5327	1	0	39	4
f127.0.0.1:2222,127.0.0.1:1111	5327	0
f127.0.0.1:2222,127.0.0.1:1111	5327	-1	0	39
f127.0.0.1:2222,127.0.0.1:1111	5327	1	0	39	4
f127.0.0.1:2222,127.0.0.1:1111	5339	0
f127.0.0.1:1111,127.0.0.1:2222	6317	1	40	0	3
f127.0.0.1:1111,127.0.0.1:2222	6321	0
f127.0.0.1:2222,127.0.0.1:1111	6322	1	0	40	4
f127.0.0.1:2222,127.0.0.1:1111	6326	0
f127.0.0.1:1111,127.0.0.1:2222	6326	1	41	0	3
f127.0.0.1:1111,127.0.0.1:2222	6326	2	42	0	3
f127.0.0.1:1111,127.0.0.1:2222	6330	1
f127.0.0.1:2222,127.0.0.1:1111	6330	2	0	41	4
f127.0.0.1:1111,127.0.0.1:2222	6335	1
f127.0.0.1:2222,127.0.0.1:1111	6335	0
f127.0.0.1:2222,127.0.0.1:1111	6335	1	0	42	4
f127.0.0.1:1111,127.0.0.1:2222	6335	2	43	0	3
f127.0.0.1:1111,127.0.0.1:2222	6340	1
f127.0.0.1:2222,127.0.0.1:1111	6340	0
f127.0.0.1:2222,127.0.0.1:1111	6340	1	0	43	4
f127.0.0.1:1111,127.0.0.1:2222	6340	2	44	0	3
f127.0.0.1:1111,127.0.0.1:2222	6340	1
f127.0.0.1:1111,127.0.0.1:2222	6340	-1	44	0
f127.0.0.1:1111,127.0.0.1:2222	6340	2	45	0	3
f127.0.0.1:1111,127.0.0.1:2222	6340	1
f127.0.0.1:1111,127.0.0.1:2222	6340	-1	45	0
f127.0.0.1:2222,127.0.0.1:1111	6344	0
f127.0.0.1:1111,127.0.0.1:2222	6344	1	46	0	3
f127.0.0.1:1111,127.0.0.1:2222	6356	0
f127.0.0.1:2222,127.0.0.1:1111	6357	1	0	43	4
f127.0.0.1:2222,127.0.0.1:1111	6361	0
f127.0.0.1:1111,127.0.0.1:2222	7345	1	44	0	3
f127.0.0.1:1111,127.0.0.1:2222	7349	0
f127.0.0.1:2222,127.0.0.1:1111	7349	1	0	44	4
f127.0.0.1:2222,127.0.0.1:1111	7353	0
f127.0.0.1:1111,127.0.0.1:2222	7353	1	45	0	3
